level,entryId,term,reading,meaningEn,meaningViDraft
N2,n2_tanos_0044,あらすじ,あらすじ,"outline, summary",[VI cần duyệt] outline; [VI cần duyệt] summary
N2,n2_tanos_0045,争う,あらそう,"to dispute, to argue, to be at variance, to compete",[VI cần duyệt] to dispute; [VI cần duyệt] to argue; [VI cần duyệt] to be at variance; [VI cần duyệt] to compete
N2,n2_tanos_0046,改めて,あらためて,"another time, again, over again, anew, formally",[VI cần duyệt] another time; [VI cần duyệt] again; [VI cần duyệt] over again; [VI cần duyệt] anew; [VI cần duyệt] formally
N2,n2_tanos_0047,改める,あらためる,"to change, to alter, to reform, to revise",thay đổi; [VI cần duyệt] to alter; [VI cần duyệt] to reform; [VI cần duyệt] to revise
N2,n2_tanos_0048,著す,あらわす,"to write, to publish",viết; [VI cần duyệt] to publish
N2,n2_tanos_0049,有難い,ありがたい,"grateful, thankful, welcome, appreciated, evoking gratitude",[VI cần duyệt] grateful; [VI cần duyệt] thankful; [VI cần duyệt] welcome; [VI cần duyệt] appreciated; [VI cần duyệt] evoking gratitude
N2,n2_tanos_0051,あれこれ,あれこれ,"one thing or another, this and that, this or that",[VI cần duyệt] one thing; [VI cần duyệt] another; [VI cần duyệt] this; [VI cần duyệt] that
N2,n2_tanos_0052,あわただしい,あわただしい,"busy, hurried, confused, flurried",bận; [VI cần duyệt] hurried; [VI cần duyệt] confused; [VI cần duyệt] flurried
N2,n2_tanos_0053,あわてる,あわてる,to become confused,[VI cần duyệt] to become confused
N2,n2_tanos_0054,安易,あんい,easy-going,[VI cần duyệt] easy-going
N2,n2_tanos_0055,案外,あんがい,unexpectedly,[VI cần duyệt] unexpectedly
N2,n2_tanos_0056,アンテナ,アンテナ,antenna,[VI cần duyệt] antenna
N2,n2_tanos_0057,言い出す,いいだす,"to start talking, to speak, to tell, to propose, to suggest, to break the ice",[VI cần duyệt] to start talking; nói chuyện; nói; kể; [VI cần duyệt] to propose; [VI cần duyệt] to suggest; [VI cần duyệt] to break the ice
N2,n2_tanos_0058,言い付ける,いいつける,"to tell, to tell on , to order",nói; kể; [VI cần duyệt] to tell on; [VI cần duyệt] to order
N2,n2_tanos_0059,意義,いぎ,"meaning, significance",[VI cần duyệt] meaning; [VI cần duyệt] significance
N2,n2_tanos_0060,生き生き,いきいき,"vividly, lively",[VI cần duyệt] vividly; [VI cần duyệt] lively
N2,n2_tanos_0061,いきなり,いきなり,"abruptly, suddenly, all of a sudden, without warning",[VI cần duyệt] abruptly; [VI cần duyệt] suddenly; [VI cần duyệt] all of a sudden; [VI cần duyệt] without warning
N2,n2_tanos_0062,育児,いくじ,"childcare, nursing, upbringing",[VI cần duyệt] childcare; [VI cần duyệt] nursing; [VI cần duyệt] upbringing
N2,n2_tanos_0063,幾分,いくぶん,somewhat,[VI cần duyệt] somewhat
N2,n2_tanos_0064,生け花,いけばな,flower arrangement,[VI cần duyệt] flower arrangement
N2,n2_tanos_0065,以後,いご,"after this, from now on, hereafter, thereafter",[VI cần duyệt] after this; [VI cần duyệt] from now on; [VI cần duyệt] hereafter; [VI cần duyệt] thereafter
N2,n2_tanos_0066,以降,いこう,"on and after, hereafter, thereafter",[VI cần duyệt] on; [VI cần duyệt] after; [VI cần duyệt] hereafter; [VI cần duyệt] thereafter
N2,n2_tanos_0067,イコール,イコール,equal,[VI cần duyệt] equal
N2,n2_tanos_0068,勇ましい,いさましい,"brave, valiant, gallant, courageous",[VI cần duyệt] brave; [VI cần duyệt] valiant; [VI cần duyệt] gallant; [VI cần duyệt] courageous
N2,n2_tanos_0069,衣食住,いしょくじゅう,necessities of life,[VI cần duyệt] necessities of life
N2,n2_tanos_0070,意地悪,いじわる,"malicious, ill-tempered, unkind",[VI cần duyệt] malicious; [VI cần duyệt] ill-tempered; [VI cần duyệt] unkind
N2,n2_tanos_0071,いちいち,いちいち,"one by one, separately",[VI cần duyệt] one by one; [VI cần duyệt] separately
N2,n2_tanos_0072,一応,いちおう,"once, tentatively, in outline, for the time being",[VI cần duyệt] once; [VI cần duyệt] tentatively; [VI cần duyệt] in outline; [VI cần duyệt] for the time being
N2,n2_tanos_0073,一段と,いちだんと,"greater, more, further, still more",[VI cần duyệt] greater; [VI cần duyệt] more; [VI cần duyệt] further; [VI cần duyệt] still more
N2,n2_tanos_0074,一流,いちりゅう,"first class, top grade, foremost, top-notch",[VI cần duyệt] first class; [VI cần duyệt] top grade; [VI cần duyệt] foremost; [VI cần duyệt] top-notch
N2,n2_tanos_0075,佚,いつ,"be lost, peace, hide, mistake, beautiful, in turn",[VI cần duyệt] be lost; [VI cần duyệt] peace; [VI cần duyệt] hide; lỗi; đẹp; [VI cần duyệt] in turn
N2,n2_tanos_0076,一昨日,いっさくじつ,day before yesterday,[VI cần duyệt] day before yesterday
N2,n2_tanos_0077,一昨年,いっさくねん,year before last,[VI cần duyệt] year before last
N2,n2_tanos_0078,一斉,いっせい,"simultaneous, all at once",[VI cần duyệt] simultaneous; [VI cần duyệt] all at once
N2,n2_tanos_0079,一旦,いったん,"once, for a moment, one morning, temporarily",[VI cần duyệt] once; [VI cần duyệt] for a moment; [VI cần duyệt] one morning; [VI cần duyệt] temporarily
N2,n2_tanos_0080,一定,いってい,"fixed, settled, definite",[VI cần duyệt] fixed; [VI cần duyệt] settled; [VI cần duyệt] definite
N2,n2_tanos_0084,いつのまにか,いつのまにか,"before one knows, unnoticed, unawares",[VI cần duyệt] before one knows; [VI cần duyệt] unnoticed; [VI cần duyệt] unawares
N2,n2_tanos_0085,移転,いてん,"moving, transfer, demise",[VI cần duyệt] moving; [VI cần duyệt] transfer; [VI cần duyệt] demise
N2,n2_tanos_0086,井戸,いど,water well,[VI cần duyệt] water well
N2,n2_tanos_0087,緯度,いど,latitude,[VI cần duyệt] latitude
N2,n2_tanos_0088,従姉妹,いとこ,cousin,[VI cần duyệt] cousin
N2,n2_tanos_0089,威張る,いばる,"to be proud, to swagger",[VI cần duyệt] to be proud; [VI cần duyệt] to swagger
N2,n2_tanos_0090,嫌がる,いやがる,"to hate, to dislike",[VI cần duyệt] to hate; [VI cần duyệt] to dislike
N2,n2_tanos_0091,いよいよ,いよいよ,"more and more, all the more, increasingly, at last, beyond doubt",[VI cần duyệt] more; [VI cần duyệt] all the more; [VI cần duyệt] increasingly; [VI cần duyệt] at last; [VI cần duyệt] beyond doubt
N2,n2_tanos_0092,煎る,いる,"to parch, to fry",[VI cần duyệt] to parch; [VI cần duyệt] to fry
N2,n2_tanos_0094,入れ物,いれもの,"container, case, receptacle",[VI cần duyệt] container; [VI cần duyệt] case; [VI cần duyệt] receptacle
N2,n2_tanos_0095,インキ,インキ,ink,[VI cần duyệt] ink
N2,n2_tanos_0096,インタビュー,インタビュー,interview,[VI cần duyệt] interview
N2,n2_tanos_0097,引力,いんりょく,gravity,[VI cần duyệt] gravity
N2,n2_tanos_0099,ウール,ウール,wool,[VI cần duyệt] wool
N2,n2_tanos_0100,ウエートレス,ウエートレス,waitress,[VI cần duyệt] waitress
N2,n2_tanos_0101,植木,うえき,"garden shrubs, trees, potted plant",[VI cần duyệt] garden shrubs; [VI cần duyệt] trees; [VI cần duyệt] potted plant
N2,n2_tanos_0102,飢える,うえる,to starve,[VI cần duyệt] to starve
N2,n2_tanos_0103,浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",[VI cần duyệt] to float; [VI cần duyệt] to rise to surface; [VI cần duyệt] to come to mind
N2,n2_tanos_0104,浮かべる,うかべる,"to float, to express, to look",[VI cần duyệt] to float; [VI cần duyệt] to express; nhìn
N2,n2_tanos_0105,浮く,うく,"to float, to become merry, to become loose",[VI cần duyệt] to float; [VI cần duyệt] to become merry; [VI cần duyệt] to become loose
N2,n2_tanos_0106,承る,うけたまわる,"to hear, to be told, to know",nghe; [VI cần duyệt] to be told; biết
N2,n2_tanos_0107,受取,うけとり,receipt,[VI cần duyệt] receipt
N2,n2_tanos_0108,受け持つ,うけもつ,to take charge of,[VI cần duyệt] to take charge of
N2,n2_tanos_0109,薄暗い,うすぐらい,"dim, gloomy",[VI cần duyệt] dim; [VI cần duyệt] gloomy
N2,n2_tanos_0110,薄める,うすめる,"to dilute, to water down",[VI cần duyệt] to dilute; [VI cần duyệt] to water down
N2,n2_tanos_0111,打合せ,うちあわせ,"business meeting, previous arrangement, appointment",[VI cần duyệt] business meeting; [VI cần duyệt] previous arrangement; cuộc hẹn
N2,n2_tanos_0112,打ち消す,うちけす,"to deny, to negate, to contradict",[VI cần duyệt] to deny; [VI cần duyệt] to negate; [VI cần duyệt] to contradict
N2,n2_tanos_0113,討つ,うつ,"to attack, to avenge",[VI cần duyệt] to attack; [VI cần duyệt] to avenge
N2,n2_tanos_0114,うっかり,うっかり,"carelessly, thoughtlessly, inadvertently",[VI cần duyệt] carelessly; [VI cần duyệt] thoughtlessly; [VI cần duyệt] inadvertently
N2,n2_tanos_0115,映す,うつす,"to project, to reflect, to cast",[VI cần duyệt] to project; [VI cần duyệt] to reflect; [VI cần duyệt] to cast
N2,n2_tanos_0116,写る,うつる,"to be photographed, to be projected",[VI cần duyệt] to be photographed; [VI cần duyệt] to be projected
N2,n2_tanos_0117,映る,うつる,"to be reflected, to harmonize with, to come out",[VI cần duyệt] to be reflected; [VI cần duyệt] to harmonize with; [VI cần duyệt] to come out
N2,n2_tanos_0118,うどん,うどん,noodles,[VI cần duyệt] noodles
N2,n2_tanos_0119,有無,うむ,"yes or no, existence, flag indicator , presence or absence marker",[VI cần duyệt] yes; [VI cần duyệt] no; [VI cần duyệt] existence; [VI cần duyệt] flag indicator; [VI cần duyệt] presence; [VI cần duyệt] absence marker
N2,n2_tanos_0120,埋める,うめる,"to bury, to fill up, to fill",[VI cần duyệt] to bury; [VI cần duyệt] to fill up; [VI cần duyệt] to fill
N2,n2_tanos_0121,敬う,うやまう,"to show respect, to honour",[VI cần duyệt] to show respect; [VI cần duyệt] to honour
N2,n2_tanos_0122,裏返す,うらがえす,"to turn inside out, to turn over",[VI cần duyệt] to turn inside out; [VI cần duyệt] to turn over
N2,n2_tanos_0123,裏口,うらぐち,"backdoor, rear entrance",[VI cần duyệt] backdoor; [VI cần duyệt] rear entrance
N2,n2_tanos_0124,占う,うらなう,"to forecast, to predict",[VI cần duyệt] to forecast; [VI cần duyệt] to predict
N2,n2_tanos_0125,恨み,うらみ,resentment,[VI cần duyệt] resentment
N2,n2_tanos_0126,恨む,うらむ,"to curse, to feel bitter",[VI cần duyệt] to curse; [VI cần duyệt] to feel bitter
N2,n2_tanos_0127,羨ましい,うらやましい,"envious, enviable",[VI cần duyệt] envious; [VI cần duyệt] enviable
N2,n2_tanos_0128,羨む,うらやむ,to envy,[VI cần duyệt] to envy
N2,n2_tanos_0129,売上,うりあげ,"amount sold, proceeds",[VI cần duyệt] amount sold; [VI cần duyệt] proceeds
N2,n2_tanos_0130,売り切れ,うりきれ,sold-out,[VI cần duyệt] sold-out
N2,n2_tanos_0131,売り切れる,うりきれる,to be sold out,[VI cần duyệt] to be sold out
N2,n2_tanos_0132,売行き,うれゆき,sales,[VI cần duyệt] sales
N2,n2_tanos_0133,うろうろ,うろうろ,"loiteringly, aimless wandering",[VI cần duyệt] loiteringly; [VI cần duyệt] aimless wandering
N2,n2_tanos_0134,運河,うんが,"canal, waterway",[VI cần duyệt] canal; [VI cần duyệt] waterway
N2,n2_tanos_0135,うんと,うんと,"a great deal, very much",[VI cần duyệt] a great deal; [VI cần duyệt] very much
N2,n2_tanos_0136,英文,えいぶん,sentence in English,[VI cần duyệt] sentence in English
N2,n2_tanos_0137,英和,えいわ,English-Japanese,[VI cần duyệt] English-Japanese
N2,n2_tanos_0138,ええと,ええと,"let me see, well, er",[VI cần duyệt] let me see; [VI cần duyệt] well; [VI cần duyệt] er
N2,n2_tanos_0139,液体,えきたい,"liquid, fluid",[VI cần duyệt] liquid; [VI cần duyệt] fluid
N2,n2_tanos_0140,エチケット,エチケット,etiquette,[VI cần duyệt] etiquette
N2,n2_tanos_0141,絵の具,えのぐ,"colors, paints",[VI cần duyệt] colors; [VI cần duyệt] paints
N2,n2_tanos_0142,エプロン,エプロン,apron,[VI cần duyệt] apron
N2,n2_tanos_0143,偉い,えらい,"great, celebrated, eminent, terrible, awful, famous, remarkable, excellent",[VI cần duyệt] great; [VI cần duyệt] celebrated; [VI cần duyệt] eminent; [VI cần duyệt] terrible; [VI cần duyệt] awful; [VI cần duyệt] famous; [VI cần duyệt] remarkable; [VI cần duyệt] excellent
N2,n2_tanos_0144,宴会,えんかい,"party, banquet",[VI cần duyệt] party; [VI cần duyệt] banquet
N2,n2_tanos_0145,園芸,えんげい,"horticulture, gardening",[VI cần duyệt] horticulture; [VI cần duyệt] gardening
N2,n2_tanos_0146,演劇,えんげき,play,[VI cần duyệt] play
N2,n2_tanos_0147,円周,えんしゅう,circumference,[VI cần duyệt] circumference
N2,n2_tanos_0148,遠足,えんそく,"trip, hike, picnic",chuyến đi; [VI cần duyệt] hike; [VI cần duyệt] picnic
N2,n2_tanos_0149,延長,えんちょう,"extension, elongation, prolongation, lengthening",[VI cần duyệt] extension; [VI cần duyệt] elongation; [VI cần duyệt] prolongation; [VI cần duyệt] lengthening
N2,n2_tanos_0150,煙突,えんとつ,chimney,[VI cần duyệt] chimney
N2,n2_tanos_0151,追い掛ける,おいかける,"to chase or run after someone, to run down, to pursue",[VI cần duyệt] to chase; [VI cần duyệt] run after someone; [VI cần duyệt] to run down; [VI cần duyệt] to pursue
N2,n2_tanos_0152,追い越す,おいこす,"to pass , to outdistance, to outstrip",[VI cần duyệt] to pass; [VI cần duyệt] to outdistance; [VI cần duyệt] to outstrip
N2,n2_tanos_0153,オイル,オイル,"oil, engine oil, kerosene",[VI cần duyệt] oil; [VI cần duyệt] engine oil; [VI cần duyệt] kerosene
N2,n2_tanos_0154,応援,おうえん,"aid, assistance, help, reinforcement",[VI cần duyệt] aid; [VI cần duyệt] assistance; giúp đỡ; [VI cần duyệt] reinforcement
N2,n2_tanos_0155,王女,おうじょ,princess,[VI cần duyệt] princess
N2,n2_tanos_0156,応ずる,おうずる,"to answer, to respond, to meet, to satisfy, to accept",trả lời; [VI cần duyệt] to respond; gặp; [VI cần duyệt] to satisfy; [VI cần duyệt] to accept
N2,n2_tanos_0157,応接,おうせつ,reception,[VI cần duyệt] reception
N2,n2_tanos_0158,応対,おうたい,"receiving, dealing with",[VI cần duyệt] receiving; [VI cần duyệt] dealing with
N2,n2_tanos_0159,往復,おうふく,"round trip, coming and going, return ticket",[VI cần duyệt] round trip; [VI cần duyệt] coming; [VI cần duyệt] going; [VI cần duyệt] return ticket
N2,n2_tanos_0160,欧米,おうべい,"Europe and America, the West",[VI cần duyệt] Europe; [VI cần duyệt] America; [VI cần duyệt] the West
N2,n2_tanos_0161,応用,おうよう,"application, put to practical use",đơn đăng ký; [VI cần duyệt] put to practical use
N2,n2_tanos_0162,オーケストラ,オーケストラ,orchestra,[VI cần duyệt] orchestra
N2,n2_tanos_0163,おおざっぱ,おおざっぱ,"rough , broad, sketchy",[VI cần duyệt] rough; [VI cần duyệt] broad; [VI cần duyệt] sketchy
N2,n2_tanos_0164,大通り,おおどおり,main street,[VI cần duyệt] main street
N2,n2_tanos_0165,オートメーション,オートメーション,automation,[VI cần duyệt] automation
N2,n2_tanos_0167,大凡,おおよそ,"about, roughly, as a rule, approximately",[VI cần duyệt] about; [VI cần duyệt] roughly; [VI cần duyệt] as a rule; [VI cần duyệt] approximately
N2,n2_tanos_0168,お帰り,おかえり,"return, welcome",[VI cần duyệt] return; [VI cần duyệt] welcome
N2,n2_tanos_0170,おかげさまで,おかげさまで,"Thanks to god, thanks to you",[VI cần duyệt] Thanks to god; [VI cần duyệt] thanks to you
N2,n2_tanos_0171,おかず,おかず,"side dish, accompaniment for rice dishes",[VI cần duyệt] side dish; [VI cần duyệt] accompaniment for rice dishes
N2,n2_tanos_0172,拝む,おがむ,"to worship, to beg, to make a supplication",[VI cần duyệt] to worship; [VI cần duyệt] to beg; [VI cần duyệt] to make a supplication
N2,n2_tanos_0173,お代わり,おかわり,"second helping, another cup",[VI cần duyệt] second helping; [VI cần duyệt] another cup
N2,n2_tanos_0174,補う,おぎなう,to compensate for,[VI cần duyệt] to compensate for
N2,n2_tanos_0176,屋外,おくがい,outdoors,[VI cần duyệt] outdoors
N2,n2_tanos_0177,おくさん,おくさん,"wife, your wife, madam",[VI cần duyệt] wife; [VI cần duyệt] your wife; [VI cần duyệt] madam
N2,n2_tanos_0178,送り仮名,おくりがな,part of word written in kana,[VI cần duyệt] part of word written in kana
N2,n2_tanos_0180,怠る,おこたる,"to neglect, to be off guard, to be feeling better",[VI cần duyệt] to neglect; [VI cần duyệt] to be off guard; [VI cần duyệt] to be feeling better
N2,n2_tanos_0181,押える,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down",dừng lại; [VI cần duyệt] to restrain; [VI cần duyệt] to seize; [VI cần duyệt] to repress; [VI cần duyệt] to suppress; [VI cần duyệt] to press down
N2,n2_tanos_0182,おさきに,おさきに,"before, ahead, previously",[VI cần duyệt] before; [VI cần duyệt] ahead; [VI cần duyệt] previously
N2,n2_tanos_0183,納める,おさめる,"to obtain, to reap, to pay, to supply, to accept",[VI cần duyệt] to obtain; [VI cần duyệt] to reap; [VI cần duyệt] to pay; [VI cần duyệt] to supply; [VI cần duyệt] to accept
N2,n2_tanos_0184,治める,おさめる,"to govern, to manage, to subdue",[VI cần duyệt] to govern; [VI cần duyệt] to manage; [VI cần duyệt] to subdue
N2,n2_tanos_0185,惜しい,おしい,"regrettable, disappointing, precious",[VI cần duyệt] regrettable; [VI cần duyệt] disappointing; [VI cần duyệt] precious
N2,n2_tanos_0186,御辞儀,おじぎ,bow,[VI cần duyệt] bow
N2,n2_tanos_0187,伯父さん,おじさん,"middle-aged gentleman, uncle",[VI cần duyệt] middle-aged gentleman; [VI cần duyệt] uncle
N2,n2_tanos_0188,小父さん,おじさん,"middle-aged gentleman, uncle",[VI cần duyệt] middle-aged gentleman; [VI cần duyệt] uncle
N2,n2_tanos_0189,叔父さん,おじさん,"middle-aged gentleman, uncle",[VI cần duyệt] middle-aged gentleman; [VI cần duyệt] uncle
N2,n2_tanos_0190,おしゃれ,おしゃれ,"smartly dressed, someone smartly dressed, fashion-conscious",[VI cần duyệt] smartly dressed; [VI cần duyệt] someone smartly dressed; [VI cần duyệt] fashion-conscious
N2,n2_tanos_0191,おじゃまします,おじゃまします,Excuse me for disturbing you,[VI cần duyệt] Excuse me for disturbing you
N2,n2_tanos_0192,教わる,おそわる,to be taught,[VI cần duyệt] to be taught
N2,n2_tanos_0193,おだいじに,おだいじに,Take care of yourself,[VI cần duyệt] Take care of yourself
N2,n2_tanos_0194,落着く,おちつく,"to calm down, to settle down",[VI cần duyệt] to calm down; [VI cần duyệt] to settle down
N2,n2_tanos_0195,御手洗,おてあらい,font of purifying water placed at entrance of shrine,[VI cần duyệt] font of purifying water placed at entrance of shrine
N2,n2_tanos_0197,お手伝いさん,おてつだいさん,maid,[VI cần duyệt] maid
N2,n2_tanos_0198,おどかす,おどかす,"to threaten, to coerce",[VI cần duyệt] to threaten; [VI cần duyệt] to coerce
N2,n2_tanos_0199,落し物,おとしもの,lost property,[VI cần duyệt] lost property
N2,n2_tanos_0200,おととい,おととい,day before yesterday,[VI cần duyệt] day before yesterday
N2,n2_tanos_0201,おととし,おととし,year before last,[VI cần duyệt] year before last
N2,n2_tanos_0202,おとなしい,おとなしい,"obedient, docile, quiet",[VI cần duyệt] obedient; [VI cần duyệt] docile; yên tĩnh
N2,n2_tanos_0203,驚かす,おどろかす,"to surprise, to frighten, to create a stir",[VI cần duyệt] to surprise; [VI cần duyệt] to frighten; [VI cần duyệt] to create a stir
N2,n2_tanos_0204,おねがいします,おねがいします,please,[VI cần duyệt] please
N2,n2_tanos_0205,各々,おのおの,"each, every, either, respectively, severally",[VI cần duyệt] each; [VI cần duyệt] every; [VI cần duyệt] either; [VI cần duyệt] respectively; [VI cần duyệt] severally
N2,n2_tanos_0206,伯母さん,おばさん,aunt,[VI cần duyệt] aunt
N2,n2_tanos_0207,叔母さん,おばさん,"aunt, middle-aged lady",[VI cần duyệt] aunt; [VI cần duyệt] middle-aged lady
N2,n2_tanos_0208,おはよう,おはよう,Good morning,[VI cần duyệt] Good morning
N2,n2_tanos_0209,お参り,おまいり,"worship, shrine visit",[VI cần duyệt] worship; [VI cần duyệt] shrine visit
N2,n2_tanos_0210,おまたせしました,おまたせしました,Sorry to have kept you waiting,[VI cần duyệt] Sorry to have kept you waiting
N2,n2_tanos_0211,おまちください,おまちください,Please wait a moment,[VI cần duyệt] Please wait a moment
N2,n2_tanos_0212,おまちどおさま,おまちどおさま,Sorry to have kept you waiting,[VI cần duyệt] Sorry to have kept you waiting
N2,n2_tanos_0213,おめでたい,おめでたい,"happy event, matter for congratulation, auspicious event, pregnancy",[VI cần duyệt] happy event; [VI cần duyệt] matter for congratulation; [VI cần duyệt] auspicious event; [VI cần duyệt] pregnancy
N2,n2_tanos_0214,思い掛けない,おもいがけない,"unexpected, casual",[VI cần duyệt] unexpected; [VI cần duyệt] casual
N2,n2_tanos_0215,思い込む,おもいこむ,"to be under impression that, to be convinced that",[VI cần duyệt] to be under impression that; [VI cần duyệt] to be convinced that
N2,n2_tanos_0217,思い付く,おもいつく,"to think of, to hit upon",[VI cần duyệt] to think of; [VI cần duyệt] to hit upon
N2,n2_tanos_0218,重たい,おもたい,"heavy, massive, serious",nặng; [VI cần duyệt] massive; [VI cần duyệt] serious
N2,n2_tanos_0219,おやすみ,おやすみ,"holiday, absence, rest, Good night",[VI cần duyệt] holiday; [VI cần duyệt] absence; [VI cần duyệt] rest; [VI cần duyệt] Good night
N2,n2_tanos_0220,おやつ,おやつ,"between meal snack, afternoon refreshment",[VI cần duyệt] between meal snack; [VI cần duyệt] afternoon refreshment
N2,n2_tanos_0221,親指,おやゆび,thumb,[VI cần duyệt] thumb
N2,n2_tanos_0222,オルガン,オルガン,organ,[VI cần duyệt] organ
N2,n2_tanos_0223,卸す,おろす,"to sell wholesale, grated",[VI cần duyệt] to sell wholesale; [VI cần duyệt] grated
N2,n2_tanos_0224,恩恵,おんけい,"grace, favor, blessing, benefit",[VI cần duyệt] grace; [VI cần duyệt] favor; [VI cần duyệt] blessing; [VI cần duyệt] benefit
N2,n2_tanos_0225,温室,おんしつ,greenhouse,[VI cần duyệt] greenhouse
N2,n2_tanos_0226,温泉,おんせん,"spa, hot spring, onsen",[VI cần duyệt] spa; [VI cần duyệt] hot spring; [VI cần duyệt] onsen
N2,n2_tanos_0227,温帯,おんたい,temperate zone,[VI cần duyệt] temperate zone
